agent,feature,deviation_mean,deviation_hdi94_lo,deviation_hdi94_hi,total_sensitivity_mean,total_hdi94_lo,total_hdi94_hi
ChatGPT GPT 5.5,price_z,-0.22746791497260146,-0.7184935056583919,0.17865402347191578,1.1101051464410001,0.25316519133385723,1.9934369409768997
ChatGPT GPT 5.5,price_rank_c,-0.0846059459180516,-0.5227549944783222,0.269849942755475,-1.7242447173558457,-2.535213797686401,-0.9538498255934673
ChatGPT GPT 5.5,rating_z,-0.06984520805774627,-0.5871486028787413,0.39540360774844485,0.6321207286670281,-0.09016643071483765,1.3789074990205794
ChatGPT GPT 5.5,rating_rank_c,-0.2779053577529077,-1.0268750561495157,0.42915950987374246,-0.0666216401577846,-0.7869128420236456,0.6698428062603359
ChatGPT GPT 5.5,review_log_z,-0.10226582519601712,-0.4863376124028155,0.22643730183260205,-0.3670827766877652,-1.1125313370018093,0.306514229215033
ChatGPT GPT 5.5,review_rank_c,0.0040341966178696845,-0.3052595710456354,0.3005246888639345,0.2065062600394978,-0.3371290560648926,0.7606950968528245
ChatGPT O3,price_z,0.021255878708465736,-0.4211389975755708,0.5187515281471319,1.3588289401220672,0.47122238062965344,2.2294126071167115
ChatGPT O3,price_rank_c,0.07092318022088953,-0.2547730427213855,0.4798574082358123,-1.5687155912169046,-2.293009877487778,-0.8569604251832768
ChatGPT O3,rating_z,0.24321292019165502,-0.27902812079437905,1.0140461295153687,0.9451788569164293,0.027669276730023906,1.8740633096860169
ChatGPT O3,rating_rank_c,1.942568621758378,0.8501780253669596,3.207615922815551,2.1538523393535005,0.9763217574181735,3.325981482969473
ChatGPT O3,review_log_z,0.3565771123645017,-0.11348698891503196,0.8761292834665351,0.09176016087275363,-0.7599467065031307,0.8937827644743865
ChatGPT O3,review_rank_c,0.12499429559979217,-0.17474639015021007,0.5802517953300377,0.32746635902142024,-0.2755489451220201,0.9590385846538442
Claude Opus 4.6,price_z,0.20500277210779688,-0.19484512730066572,0.7281782483778229,1.5425758335213984,0.6163588997089942,2.4608175028263264
Claude Opus 4.6,price_rank_c,-0.026185496061960103,-0.4157413913033446,0.2980355327955363,-1.6658242674997543,-2.4639779910859,-0.991125501473581
Claude Opus 4.6,rating_z,0.023808171960869175,-0.40629486030147643,0.5661835398535963,0.7257741086856434,0.02433796701043006,1.5198003406671348
Claude Opus 4.6,rating_rank_c,-0.33817561074589214,-1.0895686639822586,0.4435168716877909,-0.12689189315076904,-0.8224518185646936,0.601388087063518
Claude Opus 4.6,review_log_z,0.026741835171998848,-0.33552341117950885,0.3969522919922359,-0.2380751163197492,-0.9083008154870122,0.516321113138976
Claude Opus 4.6,review_rank_c,0.03262410124904064,-0.2819935610639921,0.3424758281350218,0.2350961646706687,-0.33918318695776983,0.772285959356698
Claude Opus 4.8,price_z,0.1766291397695508,-0.24434178859974914,0.6357110801330487,1.5142022011831522,0.6221957640679985,2.4363489145571533
Claude Opus 4.8,price_rank_c,-0.0021568617657022077,-0.3580587968604488,0.322000799132496,-1.6417956332034964,-2.401963707732564,-0.9679836467226454
Claude Opus 4.8,rating_z,-0.0035529630798668103,-0.5089839604326306,0.438293626059049,0.6984129736449075,-0.03198107157035063,1.3886605368923441
Claude Opus 4.8,rating_rank_c,-0.19306754930334216,-0.9154313128659388,0.5514049068247285,0.01821616829178093,-0.6948241479069882,0.7471428065509275
Claude Opus 4.8,review_log_z,-0.04833487506254379,-0.440956149449005,0.3130096410607942,-0.3131518265542918,-1.0063056683331977,0.3941409958859551
Claude Opus 4.8,review_rank_c,0.06013747094849012,-0.23487101479996114,0.3935835434903262,0.26260953437011825,-0.26361905510946765,0.8564833077261167
Claude Sonnet 4.6,price_z,0.33911108668197826,-0.11668723914381789,0.8514119231684338,1.6766841480955799,0.6958746386355066,2.578908605881918
Claude Sonnet 4.6,price_rank_c,0.054728478287053274,-0.29419961043156423,0.4396727933191436,-1.5849102931507408,-2.3273063772767806,-0.8974001969157224
Claude Sonnet 4.6,rating_z,-0.01691213927298695,-0.4941827850352808,0.4111062992068054,0.6850537974517874,-0.025909710769277894,1.4007993313554004
Claude Sonnet 4.6,rating_rank_c,-0.380166148803836,-1.0920340988960715,0.35814409532158026,-0.16888243120871288,-0.8544478505914817,0.5172476441872498
Claude Sonnet 4.6,review_log_z,-0.1768180465962851,-0.5571462492965734,0.18303042720474622,-0.4416349980880332,-1.1734535161828472,0.24076428219630636
Claude Sonnet 4.6,review_rank_c,-0.0485552236424356,-0.3913319790636935,0.237856721181643,0.1539168397791925,-0.42397129487897783,0.6850889204313544
Grok 4.2,price_z,-0.30855271482431285,-0.9521373844745507,0.18921227179253203,1.0290203465892886,0.03796510867334224,2.0156928902515947
Grok 4.2,price_rank_c,-0.1303803329557875,-0.6548481714568751,0.24716354043325262,-1.7700191043935818,-2.602844410581385,-0.9361720775603887
Grok 4.2,rating_z,-0.08992552721592915,-0.7060017391276682,0.44128074629909997,0.6120404095088452,-0.2518191654493489,1.417776692481733
Grok 4.2,rating_rank_c,-0.4961618362525891,-1.3700319728205268,0.3421616676209744,-0.2848781186574661,-1.1388649425158655,0.6457940200075956
Grok 4.2,review_log_z,-0.04293361282251998,-0.54210766263864,0.408975784956986,-0.30775056431426806,-1.1174704456796498,0.5269462181832685
Grok 4.2,review_rank_c,-0.16537396710461072,-0.6670234403652567,0.14197111172316462,0.037098096317017354,-0.6391118188203508,0.6376525987785551
