item,JSD,real_entropy_norm,synth_entropy_norm,real_hhi,synth_hhi,real_n,synth_n,real_mean,synth_mean,real_median,synth_median,mannwhitney_u,p_value,q_value
GPB5,0.3211395500215418,0.7238365241108095,0.7553217041883454,0.30556640472433566,0.274225,253,400,5.683794466403162,4.5375,6.0,5.0,77980.0,6.1564501052597984e-33,1.7238060294727435e-31
EC1,0.2730631438962009,0.707410531363268,0.7050197744473551,0.3261885047415207,0.2835375,253,400,5.778656126482214,5.3125,6.0,5.0,69840.0,2.559845847497677e-17,1.1945947288322492e-16
GPB6,0.26962309320387035,0.7737836369024634,0.7946610488788006,0.2687590807542689,0.2486875,253,400,5.490118577075099,4.3175,6.0,4.0,76849.5,2.7345413624263752e-30,2.552238604931284e-29
GPB2,0.2669633159627448,0.7697501818715983,0.797845013177238,0.26775922135949637,0.24029999999999999,253,400,5.217391304347826,3.9,6.0,4.0,77731.5,2.4609102340992857e-32,3.445274327739e-31
GPB3,0.25461009949271207,0.7103867692910621,0.808215644944868,0.32328266337546285,0.24405000000000002,253,400,5.209486166007905,4.2725,6.0,4.0,72254.5,2.3486105059305934e-21,1.6440273541514154e-20
GPB1,0.23032849990471432,0.7412903799510276,0.7715302773792809,0.29225577653142526,0.26145,253,400,5.604743083003952,4.8275,6.0,5.0,72026.5,6.04698375090804e-21,3.3863109005085025e-20
EC4,0.19346465689341158,0.7967986977582301,0.689238733696361,0.26441594150822545,0.2994,253,400,5.4980237154150196,5.4975,6.0,6.0,59423.5,0.00010146160141700135,0.00022970887779406036
EC2,0.13896212733082172,0.7756140472550931,0.6654512316880985,0.26666562514646375,0.3053875,253,400,5.612648221343873,5.545,6.0,6.0,59487.0,8.118302339289744e-05,0.0002066476959091935
EO2,0.12733680755716414,0.9071933502392592,0.734908589330525,0.1923635738724242,0.274225,253,400,4.932806324110672,4.75,5.0,5.0,57731.5,0.0017820391748845587,0.002935123346868685
EC5,0.1186347001632815,0.7110327878365182,0.6563010949732048,0.3403740099048571,0.31556249999999997,253,400,5.454545454545454,5.6525,6.0,6.0,54376.0,0.086712617000347,0.1213976638004858
GPB4,0.11607099000358478,0.8028755479268745,0.6982710075851736,0.23782593072849134,0.30095,253,400,5.482213438735178,5.175,6.0,5.0,62073.0,4.114793389369418e-07,1.4401776862792963e-06
EC3,0.1095489331148417,0.7703762555477318,0.6685419549027227,0.28035120061241386,0.30383750000000004,253,400,5.462450592885376,5.62,6.0,6.0,54140.0,0.11364537730363634,0.15152716973818178
GPI3,0.07529656994167523,0.8010975019430976,0.7733196025337408,0.26825915105688264,0.254575,253,400,5.051383399209486,4.8625,5.0,5.0,57863.5,0.0012917431228863384,0.002552853009447309
GPI2,0.06797881329135372,0.8035527940688048,0.7403973621336706,0.26126013529347436,0.26703750000000004,253,400,5.043478260869565,5.0775,5.0,5.0,53671.5,0.1724289354580354,0.214542698744011
SN3,0.06588555809213936,0.749828318095883,0.7785454757287713,0.2725085534846662,0.2577375,253,400,4.940711462450593,4.47,5.0,4.0,63358.5,1.5772497331192027e-08,6.30899893247681e-08
EO3,0.06535660584641231,0.9046280281575301,0.7719428749219267,0.2009561155462513,0.2535625,253,400,4.640316205533597,4.6275,5.0,5.0,53677.0,0.1762315025397233,0.214542698744011
GPI4,0.06287484121941553,0.83620468554319,0.8074099514733577,0.23673233451545878,0.23502499999999998,253,400,4.873517786561265,4.645,5.0,5.0,57776.0,0.0016098117491806496,0.002817170561066137
EO1,0.057506744119062245,0.8951698292655038,0.7611065043079297,0.20120608039494448,0.2653625,253,400,4.699604743083004,4.7675,5.0,5.0,52506.0,0.4011269288764874,0.4679814170225686
PBC2,0.05598664910692734,0.7724271018833871,0.7513328083803483,0.25379243543876645,0.26393749999999994,253,400,5.237154150197629,4.9525,5.0,5.0,59353.0,0.00010665055040438517,0.00022970887779406036
PBC3,0.054931181267780446,0.7352549829958216,0.7675994493062123,0.2985673889609273,0.259675,253,400,5.1146245059288535,4.8725,5.0,5.0,57774.5,0.00136759982648963,0.002552853009447309
PBC1,0.053001502129234365,0.7352768011344273,0.7377123806352825,0.30628505366432845,0.26117500000000005,253,400,5.015810276679842,5.265,5.0,5.0,45795.5,0.032453695794722806,0.04782649906590729
AT2,0.04967048430726623,0.7055090235376329,0.7466581245105977,0.2854754800106235,0.2687875,253,400,5.509881422924901,5.105,5.0,5.0,60936.0,4.1499554487583395e-06,1.2910972507248168e-05
GPI1,0.048678848985276565,0.8267274262625344,0.7413426442188275,0.24644971800840507,0.268075,253,400,4.861660079051384,4.97,5.0,5.0,50494.0,0.9626799747683393,0.9626799747683393
SN2,0.04188751560592565,0.7403441268561087,0.7729122219278798,0.27032136105860116,0.25479999999999997,253,400,5.154150197628459,4.795,5.0,5.0,60449.0,1.3111433680205783e-05,3.671201430457619e-05
AT1,0.041538351107453575,0.6851232595177822,0.7296160211557752,0.30937836866690627,0.2703375,253,400,5.3438735177865615,5.29,5.0,5.0,51507.5,0.685967466967324,0.768283563003403
AT4,0.025096656518583234,0.7318526576300227,0.7452777403899074,0.2652595728725648,0.27213750000000003,253,400,5.169960474308301,5.13,5.0,5.0,50826.5,0.9199927582143352,0.9540665640741254
AT3,0.02029512568655583,0.74370465263109,0.7344360015806671,0.26269743317346,0.2738125,253,400,5.229249011857707,5.2175,5.0,5.0,50370.0,0.9188157589295967,0.9540665640741254
SN1,0.020221055949408078,0.7427038784497406,0.7532058370131145,0.27582058772985046,0.2604875,253,400,5.106719367588933,4.9275,5.0,5.0,56194.5,0.013038905801420392,0.020282742357765053
